test_set,stratum_type,stratum,experiment,model,horizon,seed,sample_count,MAE,RMSE,sMAPE,R2
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,3,42,5322,1.3414221549891265,2.7662488839877484,1.7786863141356746,0.9708900375832857
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,3,2025,5322,1.3785718571642476,2.769172655979692,1.8183344158984045,0.9708284698248347
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,3,20260623,5322,1.353621273955859,2.75714888566815,1.7967561805763774,0.9710812458979783
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,3,20260715,5322,1.3588477828904948,2.751883595148618,1.7985662696389535,0.9711915919534752
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,3,20260718,5322,1.337018153560829,2.7570197980408238,1.7706934618021217,0.9710839537430151
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,6,42,5123,1.2961612395872888,2.7416467459314324,1.7854076147530893,0.972581586769626
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,6,2025,5123,1.2636252495158014,2.723965901299776,1.7537921159772578,0.9729340884424427
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,6,20260623,5123,1.300628897906265,2.757423281240739,1.7962629540685413,0.9722651257603784
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,6,20260715,5123,1.3369057021351098,2.7731242251533748,1.8202174586936495,0.9719483782469469
Test-A_all,scenario,S1_dry,E5_full_fusion,E5_full_fusion_xgboost,6,20260718,5123,1.305219856404678,2.7356793136155484,1.7993580944335719,0.9727008139906567
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,1,42,8149,0.8547324823134612,2.1494453552916135,1.1429605568081056,0.9818163581970416
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,1,2025,8149,0.852146343356501,2.1436492783448857,1.1429722415545303,0.9819142920079549
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,1,20260623,8149,0.8619048052079479,2.1510904695928326,1.1508183047611955,0.9817885132306535
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,1,20260715,8149,0.862954706577512,2.1416281942420388,1.1513139519396536,0.9819483792123131
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,1,20260718,8149,0.8569698346379432,2.1533006433935995,1.1433188544167308,0.9817510706130137
Test-A_all,scenario,S2_rain,E1_traffic_only,E1_traffic_only_xgboost,3,42,8217,1.1808365383165988,2.731996200149894,1.57977872856809,0.9706754233240273
